City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,03/24/2019 3:00,76,-54.81,-68.31,51.8,20.8
1,Busselton,12,AU,03/24/2019 3:40,29,-33.64,115.35,72,15.79
2,Clonakilty,40,IE,03/24/2019 3:00,80,51.62,-8.87,39.2,5.82
3,Oranjemund,92,ZA,03/24/2019 3:42,92,-28.55,16.43,62.22,2.48
4,Dingle,0,PH,03/24/2019 3:41,55,11,122.67,84.63,15.68
5,Kodiak,90,US,03/24/2019 3:38,57,39.95,-94.76,53.01,8.05
6,Guymon,20,US,03/24/2019 3:15,66,36.68,-101.48,50,11.41
7,Arraial do Cabo,12,BR,03/24/2019 3:41,92,-22.97,-42.02,77.88,9.75
8,Rikitea,80,PF,03/24/2019 3:41,99,-23.12,-134.97,79.14,18.25
9,Uryupinsk,20,RU,03/24/2019 3:33,84,50.8,42.01,30.99,1.01
10,Punta Arenas,75,CL,03/24/2019 3:33,87,-53.16,-70.91,51.8,12.75
11,Grindavik,40,IS,03/24/2019 3:31,100,63.84,-22.43,33.8,3.36
12,Sinnamary,100,GF,03/24/2019 3:43,99,5.38,-52.96,78.78,11.54
13,Saint Marys,1,US,03/24/2019 3:40,50,41.43,-78.56,30.2,5.82
14,Port Alfred,68,ZA,03/24/2019 3:39,97,-33.59,26.89,73.99,1.01
15,La Ronge,20,CA,03/24/2019 3:00,62,55.1,-105.3,19.4,8.05
16,Upernavik,32,GL,03/24/2019 3:41,100,72.79,-56.15,-10.24,11.1
17,Puerto Ayora,24,EC,03/24/2019 3:31,95,-0.74,-90.35,77,10.87
18,Pangnirtung,68,CA,03/24/2019 3:43,73,66.15,-65.72,5.16,26.08
19,Iberia,32,PE,03/24/2019 3:43,92,-11.41,-69.49,74.73,1.48
20,Behshahr,0,IR,03/24/2019 3:00,100,36.69,53.54,44.6,4.7
21,Ponta do Sol,64,BR,03/24/2019 3:41,92,-20.63,-46,67.26,2.93
22,Antalaha,0,MG,03/24/2019 3:43,94,-14.9,50.28,76.53,10.09
23,Namwala,8,ZM,03/24/2019 3:43,77,-15.75,26.45,67.89,9.42
24,Namibe,88,AO,03/24/2019 3:43,100,-15.19,12.15,78.06,1.36
25,Quatre Cocos,75,MU,03/24/2019 3:38,83,-20.21,57.76,82.4,11.41
26,Hays,1,US,03/24/2019 3:31,87,38.88,-99.33,50,12.75
27,Anadyr,75,RU,03/24/2019 3:43,78,64.73,177.51,8.6,14.45
28,Vila Velha,75,BR,03/24/2019 3:38,94,-3.71,-38.6,79,2.24
29,Bredasdorp,92,ZA,03/24/2019 3:30,83,-34.53,20.04,69.8,1.12
30,Kingston,5,CA,03/24/2019 3:42,56,44.23,-76.48,33.01,13.87
31,Kaitangata,100,NZ,03/24/2019 3:43,67,-46.28,169.85,69.42,3.71
32,Chegdomyn,12,RU,03/24/2019 3:43,41,51.13,133.04,19.38,3.15
33,Mataura,76,NZ,03/24/2019 3:40,82,-46.19,168.86,69.01,1.99
34,Cape Town,40,ZA,03/24/2019 3:38,93,-33.93,18.42,71.01,12.75
35,New Norfolk,75,AU,03/24/2019 3:41,60,-42.78,147.06,71.01,12.75
36,Hasaki,20,JP,03/24/2019 3:33,25,35.73,140.83,57,19.46
37,Kulhudhuffushi,0,MV,03/24/2019 3:43,100,6.62,73.07,83.73,7.85
38,Bluff,0,AU,03/24/2019 3:43,48,-23.58,149.07,90.66,8.3
39,Mar del Plata,0,AR,03/24/2019 3:43,100,-46.43,-67.52,45.93,3.15
40,Saldanha,0,PT,03/24/2019 3:43,90,41.42,-6.55,36.21,3.04
41,Akalkot,0,IN,03/24/2019 3:43,43,17.53,76.22,81.75,4.61
42,Jalu,0,LY,03/24/2019 3:43,82,29.03,21.55,56.73,9.64
43,Hami,0,CN,03/24/2019 3:43,47,42.84,93.51,49.8,8.08
44,Teknaf,0,BD,03/24/2019 3:43,71,20.86,92.31,84,3.49
45,Santa Isabel do Rio Negro,20,BR,03/24/2019 3:43,94,-0.41,-65.02,77.16,2.48
46,Saint-Philippe,1,CA,03/24/2019 3:40,46,45.36,-73.48,30.99,13.87
47,Jodar,0,ES,03/24/2019 3:42,77,37.84,-3.35,46.99,1.99
48,Inongo,92,CD,03/24/2019 3:43,100,-1.93,18.29,69.69,3.27
49,Bundibugyo,8,UG,03/24/2019 3:43,88,0.71,30.06,57.81,1.7
50,Samarai,92,PG,03/24/2019 3:43,100,-10.62,150.67,79.59,8.97
51,Kovdor,24,RU,03/24/2019 3:43,79,67.56,30.47,28.11,7.85
52,Port Lincoln,80,AU,03/24/2019 3:44,86,-34.72,135.86,68.79,22.39
53,Esperance,20,TT,03/24/2019 3:40,83,10.24,-61.45,77,9.17
54,San Quintin,12,PH,03/24/2019 3:44,43,17.54,120.52,84.54,3.83
55,Omboue,80,GA,03/24/2019 3:44,100,-1.57,9.26,78.96,3.83
56,Touros,40,BR,03/24/2019 3:00,94,-5.2,-35.46,78.8,5.82
57,Torbay,90,CA,03/24/2019 3:38,93,47.66,-52.73,37.99,18.34
58,Vaini,0,IN,03/24/2019 3:00,23,15.34,74.49,84.2,5.82
59,Thompson,5,CA,03/24/2019 3:00,54,55.74,-97.86,5,5.82
60,Vermilion,75,CA,03/24/2019 3:00,80,53.35,-110.85,35.6,13.87
61,Bambous Virieux,75,MU,03/24/2019 3:43,83,-20.34,57.76,82.4,11.41
62,Wajir,0,KE,03/24/2019 3:44,70,1.75,40.07,75.9,11.77
63,Majene,8,ID,03/24/2019 3:43,90,-3.54,118.97,84.99,10.42
64,Jamestown,92,AU,03/24/2019 3:41,92,-33.21,138.6,66.9,20.27
65,Yar-Sale,24,RU,03/24/2019 3:44,77,66.83,70.83,11.1,7.63
66,Karratha,100,AU,03/24/2019 3:44,70,-20.74,116.85,81.03,39.5
67,Baoqing,88,CN,03/24/2019 3:44,63,46.32,132.2,31.26,9.64
68,Homer,75,US,03/24/2019 3:42,70,59.64,-151.54,44.6,4.7
69,Hermanus,20,ZA,03/24/2019 3:30,97,-34.42,19.24,60.01,2.71
70,Longyearbyen,20,NO,03/24/2019 2:50,61,78.22,15.63,17.6,11.41
71,Albany,1,US,03/24/2019 3:38,40,42.65,-73.75,33.8,8.75
72,Tiksi,48,RU,03/24/2019 3:44,78,71.64,128.87,6.6,7.18
73,Avarua,92,CK,03/24/2019 3:00,94,-21.21,-159.78,77,3.36
74,Beyneu,0,KZ,03/24/2019 3:44,83,45.32,55.19,33.33,3.71
75,Guerrero Negro,0,MX,03/24/2019 3:44,88,27.97,-114.04,58.26,8.75
76,Lebu,20,ET,03/24/2019 3:00,58,8.96,38.73,57.2,4.7
77,Tasiilaq,0,GL,03/24/2019 2:50,40,65.61,-37.64,14,3.36
78,Butaritari,88,KI,03/24/2019 3:44,100,3.07,172.79,80.85,9.64
79,Torres,0,BR,03/24/2019 3:42,100,-29.34,-49.73,64.83,3.49
80,Khatanga,0,RU,03/24/2019 3:41,34,71.98,102.47,-9.88,6.06
81,Catalao,12,BR,03/24/2019 3:44,92,-18.17,-47.95,67.53,5.39
82,Pisco,0,PE,03/24/2019 3:00,73,-13.71,-76.2,71.6,8.05
83,Sola,20,NO,03/24/2019 3:40,100,58.89,5.65,42.01,9.17
84,Nikolskoye,20,RU,03/24/2019 3:40,93,59.7,30.79,37,4.47
85,Rawson,0,AR,03/24/2019 3:43,67,-43.3,-65.11,55.47,15.79
86,Amapa,20,HN,03/24/2019 3:00,73,15.09,-87.97,73.4,6.93
87,Chokurdakh,24,RU,03/24/2019 3:42,98,70.62,147.9,-0.34,4.38
88,Bethel,90,US,03/24/2019 2:56,75,60.79,-161.76,42.8,16.11
89,Hilo,1,US,03/24/2019 3:36,64,19.71,-155.08,75.2,11.41
90,Mount Isa,75,AU,03/24/2019 3:00,62,-20.73,139.49,84.2,18.34
91,Hovd,75,NO,03/24/2019 3:44,74,63.83,10.7,39,20.8
92,Bay Roberts,90,CA,03/24/2019 3:43,93,47.58,-53.28,37.99,18.34
93,Ilabaya,0,PE,03/24/2019 3:45,77,-17.42,-70.51,53.76,2.15
94,Ambilobe,48,MG,03/24/2019 3:45,96,-13.19,49.05,72.57,2.59
95,Rocha,0,UY,03/24/2019 3:45,71,-34.48,-54.34,61.32,8.19
96,Rio Gallegos,75,AR,03/24/2019 3:00,87,-51.62,-69.22,51.8,17.22
97,Kapaa,90,US,03/24/2019 3:38,83,22.08,-159.32,75.2,20.8
98,Siocon,8,PH,03/24/2019 3:45,93,11.03,124.04,81.12,12.55
99,Ortakoy,75,TR,03/24/2019 3:20,63,38.74,34.04,30.2,23.04
100,Kensington,90,CA,03/24/2019 3:42,87,46.44,-63.64,32,20.8
101,Puerto Escondido,0,MX,03/24/2019 3:45,100,15.86,-97.07,83.73,9.64
102,Tuktoyaktuk,75,CA,03/24/2019 3:00,72,69.44,-133.03,15.8,20.8
103,Klaksvik,88,FO,03/24/2019 3:20,86,62.23,-6.59,39.2,10.29
104,Ribeira Grande,56,PT,03/24/2019 3:45,100,38.52,-28.7,57.9,24.18
105,Muros,0,ES,03/24/2019 3:45,57,42.77,-9.06,55.99,10.2
106,Kupang,40,ID,03/24/2019 3:00,62,-10.16,123.6,89.6,12.75
107,Port Blair,0,IN,03/24/2019 3:42,100,11.67,92.75,82.2,7.74
108,Harper,90,US,03/24/2019 3:41,88,30.3,-99.24,66.2,13.87
109,Carnarvon,8,ZA,03/24/2019 3:45,23,-30.97,22.13,64.38,6.4
110,Payo,24,ID,03/24/2019 3:45,97,-3.75,103.64,78.96,6.17
111,Senj,0,HR,03/24/2019 3:45,57,45.35,13.91,55.99,5.82
112,Cherskiy,12,RU,03/24/2019 3:45,66,68.75,161.3,10.2,2.37
113,Girona,0,ES,03/24/2019 3:43,75,41.98,2.82,57.99,3.36
114,Sao Filipe,68,CV,03/24/2019 3:42,100,14.9,-24.5,69.15,11.65
115,Presidencia Roque Saenz Pena,0,AR,03/24/2019 3:45,78,-26.79,-60.44,65.82,3.71
116,Miyako,20,JP,03/24/2019 3:45,37,33.63,130.94,55.99,9.17
117,Freeport,48,BS,03/24/2019 3:45,100,26.54,-78.7,72.93,11.99
118,Buala,68,SB,03/24/2019 3:43,81,-8.15,159.59,85.8,6.4
119,La Asuncion,76,EC,03/24/2019 3:45,100,-1.64,-78.74,45.12,1.59
120,Charyshskoye,12,RU,03/24/2019 3:45,62,51.4,83.56,33.96,4.61
121,Cassilandia,12,BR,03/24/2019 3:45,88,-19.11,-51.73,71.49,7.74
122,Bayburt,92,TR,03/24/2019 3:45,83,40.26,40.22,18.93,2.93
123,Tateyama,75,JP,03/24/2019 3:45,89,36.66,137.31,51.01,3.36
124,Mecca,0,SA,03/24/2019 3:43,58,21.43,39.83,58.98,2.59
125,Yeppoon,0,AU,03/24/2019 3:00,36,-23.13,150.74,91.4,8.05
126,Palmer,90,US,03/24/2019 3:45,70,61.6,-149.11,44.6,14.99
127,Codrington,0,AU,03/24/2019 3:43,44,-28.95,153.24,95,3.36
128,Ostrovnoy,0,RU,03/24/2019 3:45,87,68.05,39.51,30,19.04
129,Hirado,20,JP,03/24/2019 3:43,34,33.32,129.49,53.01,4.7
130,Barrow,0,AR,03/24/2019 3:42,93,-38.31,-60.23,52.41,5.17
131,Hithadhoo,76,MV,03/24/2019 3:45,98,-0.6,73.08,86.25,8.52
132,Qaanaaq,12,GL,03/24/2019 3:41,81,77.48,-69.36,-26.89,10.76
133,Holme,20,GB,03/24/2019 3:46,86,53.7,-2.31,41,3.36
134,Englewood,20,US,03/24/2019 3:41,93,39.65,-104.99,41,6.93
135,Kahului,40,US,03/24/2019 3:45,65,20.89,-156.47,78.8,23.04
136,Half Moon Bay,75,US,03/24/2019 3:41,81,37.46,-122.43,55.4,6.93
137,Port Elizabeth,1,US,03/24/2019 3:45,38,39.31,-74.98,45,5.82
138,Airai,32,TL,03/24/2019 3:46,65,-8.93,125.41,83.64,1.81
139,Chulman,80,RU,03/24/2019 3:46,66,56.84,124.9,18.57,3.71
140,Pangai,20,TO,03/24/2019 3:00,61,-19.8,-174.35,82.4,6.93
141,Pavlodar,75,KZ,03/24/2019 3:00,100,52.28,76.96,28.4,6.71
142,Playas,68,EC,03/24/2019 3:46,84,-2.64,-80.39,76.8,7.4
143,Gorontalo,12,ID,03/24/2019 3:46,60,0.54,123.06,87.6,2.59
144,Castro,75,CL,03/24/2019 3:00,93,-42.48,-73.76,50,5.82
145,Inverell,0,AU,03/24/2019 3:46,32,-29.78,151.11,95,5.01
146,Gizo,80,IL,03/24/2019 3:46,77,31.8,34.94,59,2.24
147,Luderitz,48,NA,03/24/2019 3:46,93,-26.65,15.16,57.63,9.75
148,Cayenne,75,GF,03/24/2019 3:00,83,4.94,-52.33,78.8,8.05
149,Bathsheba,75,BB,03/24/2019 3:00,83,13.22,-59.52,77,16.11
150,Zyryanka,24,RU,03/24/2019 3:46,72,65.73,150.89,12.54,3.15
151,Nuqui,32,CO,03/24/2019 3:46,95,5.71,-77.27,77.43,2.04
152,Wasilla,90,US,03/24/2019 3:43,70,61.58,-149.44,44.6,3.36
153,Saint Anthony,40,US,03/24/2019 3:45,87,43.97,-111.68,39.2,5.82
154,Sabang,0,PH,03/24/2019 3:46,72,13.72,123.58,82.83,12.66
155,Atuona,92,PF,03/24/2019 3:46,99,-9.8,-139.03,82.65,16.46
156,Kalmunai,0,LK,03/24/2019 3:45,83,7.42,81.82,81.66,3.94
157,Suntar,68,RU,03/24/2019 3:46,61,62.16,117.65,15.96,7.96
158,Talnakh,76,RU,03/24/2019 3:46,83,69.49,88.39,8.94,7.18
159,Kiama,40,AU,03/24/2019 3:46,54,-34.67,150.86,82.4,5.82
160,Ouallam,68,NE,03/24/2019 3:46,16,14.32,2.08,76.53,9.19
161,Tiznit,92,MA,03/24/2019 3:46,100,29.7,-9.73,59.7,6.06
162,Honiara,64,SB,03/24/2019 3:46,87,-9.43,159.96,80.4,2.71
163,Peyima,68,SL,03/24/2019 3:46,93,8.69,-11.04,70.68,3.27
164,Bulancak,75,TR,03/24/2019 2:50,60,40.94,38.23,42.8,11.41
165,Tubbergen,0,NL,03/24/2019 3:46,100,52.41,6.78,39.99,4.38
166,Cabo San Lucas,5,MX,03/24/2019 3:40,77,22.89,-109.91,69.01,7.63
167,Merauke,36,ID,03/24/2019 3:46,99,-8.49,140.4,81.39,9.86
168,San Patricio,0,PY,03/24/2019 3:46,83,-26.98,-56.83,61.86,2.15
169,Hobart,75,AU,03/24/2019 3:37,60,-42.88,147.33,71.01,12.75
170,Paka,0,HR,03/24/2019 3:00,78,45.29,18.06,37.4,5.82
171,Adrar,0,DZ,03/24/2019 3:00,35,27.87,-0.29,57.2,12.75
172,Black Diamond,75,CA,03/24/2019 3:46,93,50.69,-114.23,37.99,9.17
173,Sanmenxia,8,CN,03/24/2019 3:47,40,34.77,111.19,55.74,3.49
174,Fortuna,0,ES,03/24/2019 3:46,81,38.18,-1.13,53.6,3.36
175,Constitucion,5,MX,03/24/2019 2:42,23,23.99,-104.67,64.4,10.29
176,Dikson,68,RU,03/24/2019 3:46,95,73.51,80.55,17.94,23.51
177,Methoni,0,GR,03/24/2019 3:45,41,36.82,21.7,59,6.62
178,Saskylakh,0,RU,03/24/2019 3:41,43,71.97,114.09,-14.29,3.27
179,Vostok,0,RU,03/24/2019 3:47,41,46.45,135.83,24.06,3.94
180,Kushima,20,JP,03/24/2019 3:03,46,31.5,131.29,53.6,6.93
181,Batemans Bay,92,AU,03/24/2019 3:46,78,-35.71,150.18,75.99,3
182,Joshimath,0,IN,03/24/2019 3:47,99,30.57,79.57,8.13,0.58
183,Santa Vitoria do Palmar,0,BR,03/24/2019 3:47,92,-33.52,-53.37,64.2,13
184,Saint George,20,GR,03/24/2019 3:43,86,39.45,22.34,52,6.93
185,Aviles,8,ES,03/24/2019 3:46,87,43.55,-5.92,48.99,1.12
186,Aklavik,75,CA,03/24/2019 3:00,67,68.22,-135.01,21.2,10.29
187,Eatonton,1,US,03/24/2019 3:46,71,33.33,-83.39,55.4,6.17
188,Souillac,0,FR,03/24/2019 3:42,76,45.6,-0.6,48.2,3.36
189,Waitati,8,NZ,03/24/2019 3:38,84,-45.75,170.57,64.99,10
190,Prince George,1,CA,03/24/2019 3:40,80,53.92,-122.75,36,2.37
191,Norman Wells,40,CA,03/24/2019 3:00,83,65.28,-126.83,32,14.99
192,Lethem,0,GY,03/24/2019 3:47,52,3.38,-59.8,83.28,13.89
193,Naze,80,NG,03/24/2019 3:47,93,5.43,7.07,74.1,2.71
194,Victoria,75,BN,03/24/2019 3:00,66,5.28,115.24,89.6,3.36
195,Pevek,0,RU,03/24/2019 3:46,76,69.7,170.27,-3.58,3.6
196,Kloulklubed,75,PW,03/24/2019 2:50,58,7.04,134.26,86,10.29
197,Yellowknife,75,CA,03/24/2019 3:37,55,62.45,-114.38,10.4,10.29
198,Spornoye,0,RU,03/24/2019 3:00,94,50.84,37.29,32,8.95
199,Jining,24,CN,03/24/2019 3:47,49,35.41,116.58,60.6,10.98
200,Nemuro,75,JP,03/24/2019 3:00,79,43.32,145.57,26.6,9.17
201,Abha,0,SA,03/24/2019 3:00,58,18.22,42.5,55.4,4.7
202,Acapulco,5,MX,03/24/2019 2:48,83,16.86,-99.88,80.6,4.7
203,Iqaluit,90,CA,03/24/2019 3:42,78,63.75,-68.52,8.6,25.28
204,Severo-Kurilsk,80,RU,03/24/2019 3:43,98,50.68,156.12,28.92,22.06
205,Scarborough,64,GB,03/24/2019 3:43,80,54.28,-0.41,42.01,5.82
206,West Wendover,90,US,03/24/2019 2:56,93,40.74,-114.07,44.6,6.93
207,Gemena,64,CD,03/24/2019 3:47,95,3.25,19.78,72.12,3.27
208,Zhezkazgan,90,KZ,03/24/2019 3:00,100,47.8,67.71,30.2,2.24
209,Chicama,20,PE,03/24/2019 3:00,88,-7.84,-79.15,68,10.29
210,Imeni Poliny Osipenko,0,RU,03/24/2019 3:47,62,52.42,136.49,23.7,3.71
211,Eureka,1,US,03/24/2019 3:46,100,40.8,-124.16,48.2,6.93
