City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,2019-03-24 03:00:00,76,-54.81,-68.31,51.8,20.8
Busselton,12,AU,2019-03-24 03:40:17,29,-33.64,115.35,72,15.79
Clonakilty,40,IE,2019-03-24 03:00:00,80,51.62,-8.87,39.2,5.82
Oranjemund,92,ZA,2019-03-24 03:42:45,92,-28.55,16.43,62.22,2.48
Dingle,0,PH,2019-03-24 03:41:59,55,11,122.67,84.63,15.68
Kodiak,90,US,2019-03-24 03:38:52,57,39.95,-94.76,53.01,8.05
Guymon,20,US,2019-03-24 03:15:00,66,36.68,-101.48,50,11.41
Arraial do Cabo,12,BR,2019-03-24 03:41:22,92,-22.97,-42.02,77.88,9.75
Rikitea,80,PF,2019-03-24 03:41:19,99,-23.12,-134.97,79.14,18.25
Uryupinsk,20,RU,2019-03-24 03:33:37,84,50.8,42.01,30.99,1.01
Punta Arenas,75,CL,2019-03-24 03:33:09,87,-53.16,-70.91,51.8,12.75
Grindavik,40,IS,2019-03-24 03:31:38,100,63.84,-22.43,33.8,3.36
Sinnamary,100,GF,2019-03-24 03:43:01,99,5.38,-52.96,78.78,11.54
Saint Marys,1,US,2019-03-24 03:40:04,50,41.43,-78.56,30.2,5.82
Port Alfred,68,ZA,2019-03-24 03:39:27,97,-33.59,26.89,73.99,1.01
La Ronge,20,CA,2019-03-24 03:00:00,62,55.1,-105.3,19.4,8.05
Upernavik,32,GL,2019-03-24 03:41:53,100,72.79,-56.15,-10.24,11.1
Puerto Ayora,24,EC,2019-03-24 03:31:17,95,-0.74,-90.35,77,10.87
Pangnirtung,68,CA,2019-03-24 03:43:12,73,66.15,-65.72,5.16,26.08
Iberia,32,PE,2019-03-24 03:43:13,92,-11.41,-69.49,74.73,1.48
Behshahr,0,IR,2019-03-24 03:00:00,100,36.69,53.54,44.6,4.7
Ponta do Sol,64,BR,2019-03-24 03:41:39,92,-20.63,-46,67.26,2.93
Antalaha,0,MG,2019-03-24 03:43:17,94,-14.9,50.28,76.53,10.09
Namwala,8,ZM,2019-03-24 03:43:19,77,-15.75,26.45,67.89,9.42
Namibe,88,AO,2019-03-24 03:43:20,100,-15.19,12.15,78.06,1.36
Quatre Cocos,75,MU,2019-03-24 03:38:59,83,-20.21,57.76,82.4,11.41
Hays,1,US,2019-03-24 03:31:00,87,38.88,-99.33,50,12.75
Anadyr,75,RU,2019-03-24 03:43:14,78,64.73,177.51,8.6,14.45
Vila Velha,75,BR,2019-03-24 03:38:22,94,-3.71,-38.6,79,2.24
Bredasdorp,92,ZA,2019-03-24 03:30:24,83,-34.53,20.04,69.8,1.12
Kingston,5,CA,2019-03-24 03:42:12,56,44.23,-76.48,33.01,13.87
Kaitangata,100,NZ,2019-03-24 03:43:31,67,-46.28,169.85,69.42,3.71
Chegdomyn,12,RU,2019-03-24 03:43:32,41,51.13,133.04,19.38,3.15
Mataura,76,NZ,2019-03-24 03:40:07,82,-46.19,168.86,69.01,1.99
Cape Town,40,ZA,2019-03-24 03:38:10,93,-33.93,18.42,71.01,12.75
New Norfolk,75,AU,2019-03-24 03:41:15,60,-42.78,147.06,71.01,12.75
Hasaki,20,JP,2019-03-24 03:33:13,25,35.73,140.83,57,19.46
Kulhudhuffushi,0,MV,2019-03-24 03:43:39,100,6.62,73.07,83.73,7.85
Bluff,0,AU,2019-03-24 03:43:41,48,-23.58,149.07,90.66,8.3
Mar del Plata,0,AR,2019-03-24 03:43:42,100,-46.43,-67.52,45.93,3.15
Saldanha,0,PT,2019-03-24 03:43:43,90,41.42,-6.55,36.21,3.04
Akalkot,0,IN,2019-03-24 03:43:45,43,17.53,76.22,81.75,4.61
Jalu,0,LY,2019-03-24 03:43:47,82,29.03,21.55,56.73,9.64
Hami,0,CN,2019-03-24 03:43:49,47,42.84,93.51,49.8,8.08
Teknaf,0,BD,2019-03-24 03:43:50,71,20.86,92.31,84,3.49
Santa Isabel do Rio Negro,20,BR,2019-03-24 03:43:51,94,-0.41,-65.02,77.16,2.48
Saint-Philippe,1,CA,2019-03-24 03:40:12,46,45.36,-73.48,30.99,13.87
Jodar,0,ES,2019-03-24 03:42:04,77,37.84,-3.35,46.99,1.99
Inongo,92,CD,2019-03-24 03:43:55,100,-1.93,18.29,69.69,3.27
Bundibugyo,8,UG,2019-03-24 03:43:56,88,0.71,30.06,57.81,1.7
Samarai,92,PG,2019-03-24 03:43:58,100,-10.62,150.67,79.59,8.97
Kovdor,24,RU,2019-03-24 03:43:59,79,67.56,30.47,28.11,7.85
Port Lincoln,80,AU,2019-03-24 03:44:02,86,-34.72,135.86,68.79,22.39
Esperance,20,TT,2019-03-24 03:40:08,83,10.24,-61.45,77,9.17
San Quintin,12,PH,2019-03-24 03:44:04,43,17.54,120.52,84.54,3.83
Omboue,80,GA,2019-03-24 03:44:06,100,-1.57,9.26,78.96,3.83
